value,none_cost,none_qaly,universal_cost,universal_qaly,dc_cost,dc_qaly,edc_cost,edc_qaly,mc_cost,mc_qaly,optimal
0.005,568.401901116745,504266.0506064767,569.4406655710468,1177525.2789015728,568.9991906779686,633557.7468761572,569.1778581641083,752176.1741429134,568.8932367036298,602926.1455900575,none
0.005475,568.291274842159,509256.00967344386,569.4287219196194,1179214.8646565743,568.9453069116987,636773.0770887439,569.1409478090218,754822.4949458422,568.8292873097979,606459.9536804646,none
0.0059499999999999996,568.1806485675729,514245.96874041116,569.416778268192,1180904.4504115754,568.8914231454289,639988.4073013307,569.1040374539355,757468.8157487711,568.7653379159658,609993.7617708719,none
0.006424999999999999,568.0700222929871,519235.92780737806,569.4048346167647,1182594.036166577,568.8375393791591,643203.7375139175,569.0671270988491,760115.1365516996,568.7013885221338,613527.5698612793,none
0.006899999999999999,567.9593960184009,524225.8868743454,569.3928909653374,1184283.6219215782,568.7836556128893,646419.0677265043,569.0302167437625,762761.4573546282,568.6374391283018,617061.3779516865,none
0.007374999999999999,567.8487697438148,529215.8459413124,569.3809473139098,1185973.2076765792,568.7297718466194,649634.3979390908,568.9933063886758,765407.7781575568,568.5734897344697,620595.1860420936,none
0.00785,567.7381434692288,534205.8050082796,569.3690036624826,1187662.793431581,568.6758880803498,652849.7281516778,568.9563960335893,768054.0989604855,568.5095403406378,624128.9941325012,none
0.008324999999999999,567.6275171946429,539195.7640752469,569.3570600110553,1189352.3791865823,568.62200431408,656065.0583642646,568.919485678503,770700.4197634141,568.4455909468061,627662.8022229082,none
0.008799999999999999,567.5168909200569,544185.7231422139,569.3451163596278,1191041.964941583,568.5681205478102,659280.388576851,568.8825753234165,773346.7405663427,568.3816415529739,631196.6103133155,none
0.009274999999999999,567.4062646454709,549175.682209181,569.3331727082006,1192731.5506965842,568.5142367815403,662495.718789438,568.8456649683297,775993.0613692715,568.3176921591419,634730.4184037229,mc
0.009749999999999998,567.2956383708847,554165.6412761484,569.3212290567731,1194421.1364515857,568.4603530152705,665711.0490020249,568.8087546132434,778639.3821722,568.2537427653098,638264.2264941303,mc
