none_cost,none_qaly,universal_cost,universal_qaly,dc_cost,dc_qaly,edc_cost,edc_qaly,mc_cost,mc_qaly,WTP threshold: 10000,WTP threshold: 20000,WTP threshold: 30000,WTP threshold: 40000,WTP threshold: 50000,WTP threshold: 60000,WTP threshold: 70000,WTP threshold: 80000,WTP threshold: 90000,WTP threshold: 100000,WTP threshold: 110000,WTP threshold: 120000,WTP threshold: 130000,WTP threshold: 140000,WTP threshold: 150000,WTP threshold: 160000,WTP threshold: 170000,WTP threshold: 180000,WTP threshold: 190000,WTP threshold: 200000
2603.6080124566643,2801977.841604602,2617.54165024845,2890263.7338722,2611.7054974019175,2569550.424662343,2613.9338134580385,2608771.4547534287,2611.0500531265593,2562233.1435280326,mc,edc,edc,edc,edc,edc,edc,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal
3664.638864082983,4052799.2154553686,3759.319723522217,3049417.998621138,3717.2172948054113,3289636.7946890336,3735.624298507476,3085964.5798198055,3714.2298661486475,3309579.2599467286,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal
3260.9874438237484,1736430.0272110123,3277.1568306048343,2296919.5832829843,3269.9358123796137,1813364.38504222,3273.335805359533,1903801.8757165812,3268.881789097603,1789863.2566010419,mc,mc,edc,edc,edc,edc,edc,edc,edc,edc,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal
2867.8268386830377,2666535.436317699,2896.5215191698776,2622773.2112459964,2884.495770719263,2437316.5671096332,2889.7785524204096,2416969.332707486,2881.8320701398734,2460765.1087129917,edc,edc,edc,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal
3489.5449139729594,2758316.0131840063,3611.346883451558,2856905.535718308,3560.1908202265586,2532539.1996449246,3582.2450639298318,2545872.32182677,3552.9392318198074,2538470.053652473,edc,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal
3865.0223915665924,2843986.5629732637,3933.044086870631,2906618.6778435796,3905.5517676859704,2659946.171501099,3915.7321973047206,2690017.7796307625,3897.7395474923087,2691807.904009469,edc,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal
1919.9156396035303,2635829.9765083054,1934.9343514659436,2921701.977803111,1927.9394365007677,2572373.6876201285,1930.965955834433,2618336.472104376,1927.571613800114,2556699.556043477,mc,edc,edc,edc,edc,edc,edc,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal
1577.0056074880627,2771383.0478320858,1595.12518121335,3030911.562259156,1587.5078142042848,2676934.9666483523,1590.4567366732817,2719400.108115591,1586.0600887948997,2675895.988506551,dc,edc,edc,edc,edc,edc,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal
2449.3035363667823,3613177.734706663,2483.690807928139,3232792.7014317615,2468.6248354862782,3178486.9298900752,2475.694842106405,3075348.8158751563,2465.892072070967,3224384.9921361334,edc,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal
3856.241532610566,3039230.4110494177,3911.499143182615,2619191.151940732,3887.802588733676,2595383.0049878033,3896.5888854142954,2542966.2331066863,3883.630964558857,2648450.9066273263,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal
3830.8477197521443,3479237.500435162,3881.0613411300824,3172178.150868718,3859.554180072003,3081255.0616569384,3866.4745096523748,3060292.4867744413,3855.9749435983067,3120095.249835569,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal
3961.4156086136277,2782349.894192513,3986.0301189664874,2760258.6486633457,3975.699241686787,2651723.514138267,3979.713439405338,2650501.3522786354,3972.763331077589,2677292.237330564,edc,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal
3047.5773291848686,3338858.7627910213,3135.4421016562264,2828406.9327838263,3097.275154380325,2864529.0205571232,3113.3508195963113,2764333.0670334497,3092.7507999350155,2889548.3635048005,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal
3029.074155020016,3282939.1718196888,3073.179036479764,2962290.9322821936,3052.1358219908434,2923494.202906751,3060.7757403637006,2849091.8724834556,3050.542643498223,2925297.291041354,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal
3631.650117159852,3511278.224778318,3721.234273276984,3315253.1149593615,3683.37407258391,3137342.78599737,3695.661986920626,3135118.5022351425,3675.229464138413,3187935.6764165144,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal,universal
